Nome;indirizzo;latitudine;longitudine;id_scheda;descrizione breve;descrizione estesa;macro zona;zona;sotto categoria;civico;cap;città;provincia;note;accessibilità;telefono;email;sito;orari generici;orario Lunedì;orario Martedì;orario Mercoledì;orario Giovedì;orario Venerdì;orario Sabato;orario Domenica;geopoint
Fronte difensivo della linea Gotica;Via S. Mamante 40042 Lizzano In Belvedere BO;44.163954029467824;10.892984067215608;3276;;La linea Gotica (Gotenstellung) fu la linea fortificata difensiva istituita dal feldmaresciallo Albert Kesselring nel 1944 nel tentativo di rallentare l’avanzata dell’esercito alleato verso l’Italia Settentrionale. La linea difensiva si estendeva per 320 chilometri e di fatto tagliava in due l’Italia dalla provincia di Massa Carrara fino alla costa Adriatica, seguendo il tracciato che dai  rilievi delle Alpi Apuane proseguiva verso est lungo la Garfagnana, sui monti dell’Appennino Tosco-Emiliano e Forlivese per finire poi sul versante adriatico negli approntamenti difensivi tra Rimni e Pesaro.Per la sua costruzione i nazisti reclutarono soldati e prigionieri italiani (circa 50.000 operai) e 2.000 soldati di una brigata slovacca che finirono a lavorare per la TODT, il tutto sotto il controllo diretto di 18.000 genieri germanici. I lavori di fortificazione della Linea Gotica furono interrotti nell’agosto del 1944, quando gli americani sferrarono il primo attacco. In soli dieci mesi però erano stati realizzati 3604 trincee, 2375 nidi di mitragliatrici, 479 posti cannone, 16.000 postazioni di tiratori scelti,in più erano state posizionate l’impressionante numero di 95.689 mine antiuomo. I chilometri di fossato erano quasi 900 e quelli di filo spinato ben 117.Oltre a questo la robustezza e la difficoltà determinata della Linea Gotica era legata alla morfologia del territorio, soprattutto quello del nostro Appennino, che rappresentava una barriera naturale difficile da superare.I lunghi mesi di guerra sull’Appennino hanno lasciato sul territorio molte tracce: postazioni, trincee e rifugi usati dai tedeschi sono oggi diventati parte di un percorso attrezzato che, nel territorio dell’Unione dell’ Alto Reno, nel cuore dell’Appennino Tosco – Emiliano, lasciano immaginare le condizioni in cui le truppe vissero gli ultimi mesi di guerra. Il territorio è ricco di testimonianze della guerra, in ogni località, che permetto di capire ancora oggi gli avvenimenti locali.Il progetto di valorizzazione della Linea Gotica, realizzato dal Comune di Lizzano in Belvedere prevede la creazione di un vero e proprio sistema turistico-culturale che, oltre ai singoli percorsi ed alle emergenze già esistenti, consenta ai visitatori di percorrere anche un tratto della Linea Gotica, da Lizzano in Belvedere fino a Marzabotto, della lunghezza complessiva di 80 chilometri, che tocca tutti i punti dei principali avvenimenti bellici accaduti fra l’autunno del 1944 e la primavera del 1945 in questa parte dell’Appennino.Un percorso suggestivo per seguire la memoria grazie a un filo che si snoda attraverso sentieri che permettono all’occhio di spaziare libero tra la valle aspra e incontaminata del Dardagna a quelle dolci del Belvedere e del Setta, in un ambiente di bellezza capace di rendere forte l’eco della storia vissuta dalle denti dell’Appennino fra l’autunno del 1944 e la primavera del 1945.Visita il Sito dedicato alla Linea Gotica e scopri gli itinerari!;Appennino;;Archeologia industriale;;40042;Lizzano in Belvedere;BO;;;+39053451052;info@cornoallescale.net;https://www.cornoallescale.net/cenni-storici-e-artigianato/seconda-guerra-mondiale;;;;;;;;;44.163954029467824, 10.892984067215608
Piscina Molinella;Via Andrea Costa;44.6200048;11.6724135;3314;;La piscina di Molinella è una struttura che ospita vasche all'aperto e al coperto.;Pianura;;Luoghi di sport e motori;6;40062;Molinella;BO;< 40 km;;;piscinemolinella@sportmanagement.it;https://www.sportmanagement.it/it/piscinamolinella/sb-45;Consulta gli orari visitando il sito della piscina;;;;;;;;44.6200048, 11.6724135
Piscina Spiraglio;Via del Carpentiere;44.5013019;11.3890605;3315;;La Piscina Spiraglio è dotata di due vasche coperte ad uso sportivo ed estivo.;Bologna;;Luoghi di sport e motori;40;40138;Bologna;BO;;"Sono presenti barriere architettoniche che risultano facilmente superabili con l'aiuto di un accompagnatore. È presente un sollevatore per l'ingresso e l'uscita
dalla piscina per persone con disabilità motorie e impedimenti fisici
temporanei. Notizia ufficiale ->";+390516011176;segreteria@presidentbologna.it;www.presidentbologna.it;Chiusa dall'1 al 21 agosto. Consultare sempre il sito della piscina qui.;;;;;;;;44.5013019, 11.3890605
Ciclovia del Sole;Via Matteotti;44.7200288;11.148594;3409;;La Ciclovia collega Bologna al resto dell’Europa (EuroVelo7), lungo la direttrice Capo Nord – Malta. La tappa Mirandola - Bologna, segue l’ex tracciato ferroviario Verona - Bologna ed è perfettamente inserita all’interno del paesaggio rurale della pianura emiliana, tra campi, corsi d’acqua, piccoli borghi ricchi di storia, arte, buon cibo e aree naturali protette, vere oasi per gli amanti del birdwatching. Ad oggi è percorribile il tracciato Mirandola-Sala Bolognese, con possibilità di arrivare fino a Bologna su percorsi segnalati. Nei prossimi anni si affiancherà il tracciato della parte appenninica, la seconda tappa che dal capoluogo sale fino al crinale tosco-emiliano, che già oggi si può percorrere su percorsi per ciclisti esperti oppure in treno, per poi arrivare fino a Firenze.Pronto a pedalare? Vieni a scoprire la Destinazione turistica Bologna – Modena in bicicletta.;Pianura;;Vie e cammini;34;40014;Crevalcore;BO;;;;;http://www.cicloviadelsole.it/;;;;;;;;;44.7200288, 11.148594
La Via del Fantini;;;;3647;;"La Via del Fantini è un itinerario culturale, fruibile a piedi e a
breve anche in bici (50 km
circa) che parte da San Lazzaro di Savena e arriva a San Benedetto del Querceto
attraversando tutta la Val di Zena e unendo diversi luoghi d’interesse. Si parte dal Museo della Preistoria Luigi Donini, che invitiamo a visitare, i cui contenuti sono in stretta relazione con la zona del Parco dei Gessi e Calanchi dell’Abbadessa, che andrete ad attraversare lungo la prima tappa ed oltre. Non tralasciate anche il Parco dei Dinosauri in Carne ed Ossa, un’attrattiva per grandi e bambini. Il Parco di Gessi comprende una zona carsica di estrema importanza per i suoi aspetti geologici, speleologici e paleontologici, diverse doline e grotte anche visitabili come la Grotta della Spipola e  la Grotta del Farneto.Casa Fantini è sede del Parco e casa natale di Luigi Fantini dove ha inizio la sua avventura di ricercatore vivendo a stretto contatto con la ricca natura della vallata. Grazie alle sue scoperte e alla sua storia il Parco prenderà vita. La Val di Zena si apre da qui nella sua parte più selvaggia con doline, splendidi calanchi, dolci colline e paesaggi che cambiano a seconda delle stagioni, mantenendo un fascino particolare.Intorno al Botteghino di Zocca soffermatevi nei luoghi storici distrutti dalla guerra come Casola Canina e Gorgognano, collocati in punti molto suggestivi dove l’associazione Parco Museale della Val di Zena, ideatrice della Via del Fantini, è presente nel recupero e nella salvaguardia della memoria storica con anche alcune installazioni artistiche.Subito dopo Zena, situato in una posizione
scenografica, si trova l’omonimo Castello di Zena risalente al 1100 e facente parte delle tenute matildiche. Poco più su, l'incantevole Torre dell’Erede forse torre di guardia del Castello, che si staglia con la sua
pittoresca presenza fino a Cà di Pippo.Non tralasciate di fermarvi a Tazzola e fare una visita al Museo dei Botroidi di Luigi Fantini, un piccolo museo
geologico-paleontologico, particolare e suggestivo, che merita di essere
visitato accompagnati da Lamberto Monti e Pino Rivalta, suoi creatori e
custodi.Il sentiero prosegue verso il Monte delle Formiche addentrandosi nel bosco per poi uscire con viste stupende sul Contrafforte Pliocenico fino su in cima alla chiesa, da dove potete ammirare il paesaggio che spazia dalla Val di Zena alla Val d’Idice.Si scende per poi
risalire a Monte Bibele attraversando un’ampia vallata bellissima, tra campi boschi e antiche case rurali in pietra. Monte Bibele è all’interno di un’Area Archeologico - Naturalistica di estremo interesse, con scavi e ricostruzioni di capanne etrusco-celtiche i cui ritrovamenti costituiscono la ricchezza del Museo Archeologico Luigi Fantini della vicina Monterenzio. L’ultimo tratto nel bosco vi condurrà fino a San Benedetto del Querceto, dove troverete gli autobus oltre che per Monterenzio e Bologna.La Via del Fantini non è lunga ma densa di ricchezze da vedere con lentezza, ognuno troverà il proprio interesse.";Appennino;;Vie e cammini;;;;;;;;;http://www.parcomusealedellavaldizena.it/la-via-del-fantini/;;;;;;;;;
Museo delle bambole - Collezione Marie Paule Vedrine Andolfatto;Museo delle Bambole - Via Riva di Reno;44.4987922;11.3417854;3987;;"Le bambole vi accompagnano attraverso un percorso storico, partendo da pupe contemporanee, Barbie, Sasha. Himstedt e indietro nel tempo attraverso il XX e il XIX secolo con le bambole italiane Lenci, alcuni esemplari  extraeuropei, bambolotti e bebè tedeschi e rarità francesi, concludendosi con alcuni rari esempi del XVII secolo; figure tra religiosità e gioco. E’ un modo per conoscere l’evoluzione estetica, tecnica e materica di questi balocchi, unitamente ai significati educativi, pedagogici e di  costume, permettendo il confronto tra le produzioni industriali e artigianali delle più note fabbriche internazionali.";Bologna;;Musei e Collezioni;79;40121;Bologna;BO;;;+390514845740;info@ilmuseodellebambole.com;https://www.facebook.com/museobambolebologna/;"Giovedì: 14:00 - 18:00Venerdì: 14:00 - 18:00Sabato: 10:00 - 13:00; 14:00 - 18:00Domenica: 10:00 - 13:00; 14:00 - 18:00";;;;;;;;44.4987922, 11.3417854
Castello Manservisi;Via Alessandro Manservisi;44.1523654;10.9278813;4038;;"L'imponente castello Manservisi si trova a dominare la valle circostante da Castelluccio, piccolo borgo nel comune di Alto Reno Terme. L'edificio è stato ristrutturato a fine '800 da Alessandro Manservisi con uno stile neogotico che rispecchia il gusto dell’epoca, riprendendo elementi medievali come archi a sesto acuto, torri e elementi in ferro battuto (come grate, inferriate e anelli per legare gli animali). All'interno del castello si può ammirare la ""Sala degli arazzi"", dove sono raccolte le opere restaurate dal pittore bolognese Giacomo Lolli. Le tele qui esposte, realizzate con una tecnica che riproduce l’effetto visivo di un arazzo, rappresentano scene di vita quotidiana della famiglia Manservisi, ritratta alla maniera rinascimentale. Il castello resterà di proprietà della famiglia fino al 1912, quando venne devoluto in beneficenza per i bambini poveri. Negli anni successivi (fino alla fine degli anni ‘70 circa) alcune parti dell’edificio vennero adibite a colonia e albergo, senza però snaturare il fascino del castello, che infatti venne scelto dal regista Pupi Avati per il suo film del 1983 ""Una gita scolastica"", che racconta l'immaginaria gita di una classe del liceo Galvani di Bologna, avvenuta nel 1914. Per arrivare da Bologna a Firenze i ragazzi passano anche da Porretta Terme, fermandosi a dormire proprio al castello. Proprio nella sede dell’ex albergo è possibile visitare il Museo LabOrantes, suddiviso in varie sale dedicate alla cultura montanara (religiosità popolare, lavori delle donne, sala dei nidi, cassa rurale, vita e lavoro del borgo).";Appennino;;Torri, edifici storici;3;40046;Alto Reno Terme;BO;< 70 km;;+39 3475321382;info@castellomanservisi.it;http://castellomanservisi.it/wordpress/;;;;;;;;;44.1523654, 10.9278813
Piscina Martin Luther King;Via dello Sport;44.4825443143866;11.283784513244623;4326;;"La piscina ""Martin Luther King"" ospita 3 vasche, una esterna e due interne (una da 25 metri e una per bambini). Tutte le vasche sono riscaldate. Le docce sono a pagamento e temporizzate.";Appennino;;Luoghi di sport e motori;;40033;Casalecchio di Reno;BO;<20 km;Accessibile in carrozzinaSollevatore mobile per l'accesso alla vasca da 25 mTribuna dotata di sollevatoreServizio igienico adattato con doccia accessibileParcheggio riservato per disabili;051575836;piscinamlking@gmail.com;https://www.piscinaking.it/;;;;;;;;;44.4825443143866, 11.283784513244623
Villa Beatrice;Via Degli Aceri;44.64021844736621;11.343126042327864;4362;;"La Villa risalente alla metà del ‘500 è passata tra vari
proprietari nel corso del tempo ed è ora proprietà del Comune di Argelato,
recentemente restaurata.
Il nucleo centrale è affiancato da due ali laterali che
delimitano i cortili interni. Il piano terra era riservato agli ambienti di
servizio come cucine, cantine e tinelli, il primo piano invece (piano nobile) era
abitazione ufficiale dei signori e luogo di ricevimento, mentre il secondo
piano era destinato alle camere private. L’interno conserva belle decorazioni
attribuite al noto decoratore Cesare Baglione. Il parco circostante comprende
una conserva, la disposizione degli alberi e della vegetazione venne studiata
appositamente per creare un microclima ideale per la villa.";Pianura;;Torri, edifici storici;12;40050;Argelato;BO;<20 km;;;;;;;;;;;;;44.64021844736621, 11.343126042327864
Bosco del Poranceto;Poranceto;44.1326306;11.0956194;6584;;"Il Poranceto è un bosco secolare con antichi castagni maestosi all’interno del parco dei laghi di Suviana e Brasimone, uno dei più suggestivi della montagna bolognese che rievoca atmosfere magiche e fiabesche. 
Non è un semplice castagneto da frutto ma è un bosco con i suoi giganteschi castagni	millenari, contorti, cavi e mastodontici, fino a 8 metri di diametro, veri e propri monumenti verdi viventi.
Immerso in questo scenario suggestivo sorge il Museo del Bosco, centro visita del Parco, dedicato 
all’ecosistema del bosco e alla tradizionale coltura del castagno. Il museo sfrutta lo spazio recuperato di vecchi edifici rurali inseriti in un magnifico castagneto secolare: stalla, fienile, essiccatoio per le castagne.
 La piccola sala presente al piano terra propone un allestimento che introduce alla conoscenza dei caratteri botanici, vegetazionali e selvicolturali dei quattro principali boschi montani: i querceti misti, il castagneto, la faggeta, i rimboschimenti a conifere; sul ballatoio, con fondo chiuso da un'ampia e suggestiva vetrata che guarda sul bosco, si trova un diorama incentrato sul rapporto bosco-animali, mentre al piano sottostante, all'interno del suggestivo ambiente della stalla, si approfondisce il rapporto uomo-bosco nel suo sviluppo storico: la gestione tradizionale (la legna, il carbone vegetale) e la civiltà della castagna (gestione del bosco, trasformazione, prodotti), con l'ausilio di due modelli raffigurati carbonaia e essiccatoio per le castagne.
All’esterno, l’Ente Parchi Emilia Orientale ha da poco rinnovato un breve ma interessante percorso 
didattico, dedicato sia ai bambini che ai visitatori adulti, per stimolare la scoperta dei vari aspetti del territorio attraverso una percezione multisensoriale dell’ambiente, alternando immagini, modelli 
tridimensionali, momenti di riflessione  e osservazione attraverso l’utilizzo di illustrazioni, bassorilievi e fotografie storiche e moderne.";Appennino;;Parchi e natura;;40032;Camugnano;BO;< 70 km;;;;https://enteparchi.bo.it/parco-dei-laghi-di-suviana-e-brasimone/centro-visita/;;;;;;;;;44.1326306, 11.0956194
Cinema Modernissimo;Ingresso Cinema Modernissimo - Piazza Re Enzo,;44.4944371;11.3436462;8325;;"Il Cinema Modernissimo è una storica sala cinematografica nel centro di Bologna, nell'incrocio fra Via Rizzoli e Piazza Re Enzo, da sempre un apprezzato punto di riferimento per il pubblico cinematografico bolognese.Agi inizi del Novecento, Bologna cambia il suo assetto urbanistico. Vengono abbattuti diversi palazzi medievali e inizia la costruzione di Palazzo Ronzani, un edificio polifunzionale ad opera dell'architetto Pontoni. Situato in Via Rizzoli, il Palazzo ospitava un teatro sotterraneo, successivamente convertito in sala cinematografica nel 1915. La sala rimane attiva fino al 2007 con il nome Cinema Arcobaleno.Nasce un nuovo progetto per far rinascere la storica sala cinematografica, la quale è stata ""battezzata"" dal regista Martin Scorsese durante la sua visita a Bologna a giugno 2023. Il nuovo Cinema Modernissimo, che ha aperto il 21 novembre 2023, rappresenta una perla nel cuore di Bologna per tutta la città e per tutti coloro che amano il cinema.SCOPRI LA PROGRAMMAZIONE";Bologna;Piazza Maggiore - Indipendenza;Cinema e Teatri;1;40125;Bologna;BO;;;;;https://cinetecadibologna.it/luogo/cinema-modernissimo/;;;;;;;;;44.4944371, 11.3436462
Casa Carducci - Biblioteca e Museo;Casa Carducci, Piazza Giosuè Carducci;44.488173331225745;11.357254296295162;9048;;Casa Carducci è una casa museo e un istituto specializzato orientato alla conoscenza, allo studio e alla ricerca su Giosuè Carducci (Valdicastello 1835- Bologna 1907) e in generale della cultura letteraria italiana ed europea dell’Otto e Novecento.;Bologna;;Musei e Collezioni;5;40125;Bologna;BO;;"Museo
e Biblioteca sono al primo piano privo di ascensore. Non sono presenti servizi
igienici adatti a persone con disabilità.";0512196520;casacarducci@comune.bologna.it;https://www.casacarducci.it/;"Biblioteca lunedì 10 -14, martedì mercoledì e venerdì 9-13, giovedì 9-17 su prenotazioneCasa-museo martedì e giovedì 9-13; venerdì 15-19; sabato, domenica e giorni festivi 10-18; chiusa lunedì e mercoledì";;;;;;;;44.488173331225745, 11.357254296295162
Santuario di San Luca;Via di San Luca;44.47911556412261;11.297979354858398;1;;Il Santuario di San Luca, che sorge sul Colle della Guardia, è da secoli simbolo di Bologna oltre che oggetto di culto religioso. È collegato al centro città da una strada che, a partire da Porta Saragozza, si snoda per quattro chilometri in un porticato che, con le sue oltre 600 arcate, è il più lungo al mondo e, con gli altri portici della città, recentemente nominato Patrimonio Mondiale UNESCO.Percorso ogni anno dal 1433, durante la Settimana dell’Ascensione, da una processione che conduce la bizantina Madonna con Bambino alla cattedrale, il porticato fu realizzato a partire dal 1674. Successiva è invece la costruzione della chiesa del santuario, risalente al XVIII secolo, in sostituzione di una precedente costruzione quattrocentesca. Dal santuario si può godere di una meravigliosa vista sul paesaggio circostante. Inoltre, l’apertura a partire dal 2017 del terrazzino panoramico, permette, a un’altezza circa di 42 metri sul livello del Colle della Guardia (300 mt sul livello del mare), di ammirare una veduta unica di Bologna, a 180 gradi, dai colli, fino al centro e a Casalecchio di Reno.;Bologna;Saragozza - San Luca;Edifici Religiosi;36;40135;Bologna;BO;;La Basilica è accessibile tramite ascensore a tutti i tipi di disabilità. Non sono accessibili solo la cupola e la cripta. E’ richiesta la prenotazione per l’accesso per i soli gruppi.;+39 051 6142339;info@santuariodisanluca.it;https://www.santuariodisanluca.it;Da Marzo ad Ottobre il Santuario chiude 30min dopo. Gli orari possono subire lievi modifiche.Durante le funzioni religiose la visita turistica potrebbe essere limitata o sospesa. Per informazioni chiamare qui. Terrazza Panoramica: per gli orari consulta il sito.;7:00-19:00;7:00-19:00;7:00-19:00;7:00-19:00;7:00-19:00;7:00-19:00;7:00-19:00;44.47911556412261, 11.297979354858398
Oasi La Rizza;Via Bassa degli Albanelli;44.6603813;11.4359474;6;;Da palude a risaia, fino a diventare verso la fine degli anni '90 l'area naturale protetta dell’Ex Risaia di Bentivoglio, conosciuta anche come l’Oasi La Rizza, dove dopo secoli è tornata a nidificare anche la splendida cicogna bianca.Alle piccole macchie di boschi e pioppeti presenti fino agli anni novanta, sono stati aggiunti, con accurati ripristini naturali, nuovi boschi e siepi ed è stata scavata la grande zona umida che caratterizza l’intera area. Paradiso per ornitologi e amanti della natura, l'oasi, con più di 40 ettari di biodiversità e una ricca flora e fauna tipica delle paludi d'acqua dolce, è un luogo unico che offre al visitatore un perfetto spaccato delle grandi paludi che in passato dominavano il paesaggio della Pianura bolognese.Nell’oasi è possibile ammirare numerose specie di uccelli stanziali e migratori, come l’airone cenerino, l'airone bianco maggiore, la garzetta, la cicogna bianca, l’oca selvatica, il germano reale, l’alzavola, il falco di palude, il martin pescatore e molte altre ancora, che qui trovano riparo tra isole, rive e canneti, luoghi ideali anche per costruire i loro nidi. Le aree interne dell’oasi sono state attrezzate con percorsi di visita, pedonali e ciclabili, e con capanni di osservazione e schermature studiati per salvaguardare la tranquillità della fauna presente e tutelare al meglio l’ecosistema locale. Info: www.comune.bentivoglio.bo.it;Pianura;;Parchi e natura;13;40010;Bentivoglio;BO;< 30 km;;;;http://www.comune.bentivoglio.bo.it;;;;;;;;;44.6603813, 11.4359474
Ca' la Ghironda;Via L. Da Vinci;44.4947744;11.188703;21;;Ca’ la Ghironda ModernArtMuseum è un'area museale inserita in un contesto architettonico di nuovissima concezione, un parco di 10 ettari, a pochi minuti dal centro di Bologna.L’area museale comprende un parco di sculture all’aperto, un giardino botanico di flora naturalizzata e autoctona, un rifugio spontaneo per la fauna locale, un complesso spazio espositivo, un attrezzato centro congressi, un luogo per esposizioni e attività artistiche, un laboratorio e uno spazio per le arti visive, le scuole, le famiglie, i bambini, gli anziani e i diversamente abili.Oltre al ModernArtMuseum, a Ca’ la Ghironda è presente anche il Ghironda Resort, in cui si può pernottare per brevi o lunghi periodi e il Ristorante Giocondo, dove si pranza con l’ospitalità e la cura delle nonne di una volta.;Appennino;;Musei e Collezioni;19;40069;Zola Predosa;BO;< 20 km;;+39051757419;info@ghironda.it;http://www.ghironda.it/;"Dal 15 Maggio al 16 SettembreSabato e Domenicadalle ore 10.00 alle ore 12.00 - (chiusura biglietteria ore 11.30)dalle ore 15.00 alle ore 19.00 - (chiusura biglietteria ore 18.30)Festività dalle ore 15.00 alle ore 19.00 - (chiusura biglietteria ore 18.30)
Dal 17 Settembre al 14 MaggioSabato e Domenicadalle ore 10.00 alle ore 12.00 - (chiusura biglietteria ore 11.30)dalle ore 15.00 alle ore 19.00 - (chiusura biglietteria ore 18.30)Festività dalle ore 15.00 alle ore 19.00 - (chiusura biglietteria ore 18.30)
Lunedì ChiusoAltri giorni: previo appuntamento – Infotel. + 39. 051.757419";;;;;;;;44.4947744, 11.188703
Ponte Alidosi;Via Ponte Alidosi;44.21452502565675;11.506472826004028;48;;Con i suoi 42 metri di arcata unica, è uno splendido esempio di ponte a schiena d’asino di epoca rinascimentale. Commissionato nel 1499 dalla famiglia Alidosi, è il simbolo stesso della forza e ricchezza della famiglia. La costruzione di questa importante passaggio, più volte sottoposto a restauro nei secoli, ha aiutato i traffici economici della valle del Santerno e facendo di Castel Del Rio una riconosciuta area mercatale.All’interno sono presenti cinque stanze, all’epoca utili per la riscossione del pedaggio e l’incarcerazione dei prigionieri. Queste stanze sono recentemente state restaurate e riaperte come spazio espositivo.La struttura è stata riconosciuta monumento nazionale nel 1897.;Area imolese;;Torri, edifici storici;;40022;Castel del Rio;BO;< 70 km;;;;;;;;;;;;;44.21452502565675, 11.506472826004028
Autodromo Enzo e Dino Ferrari di Imola;Piazza Ayrton Senna da Silva;44.34435739999999;11.719392;50;;L’Autodromo Internazionale Enzo e Dino Ferrari di Imola è uno dei più importanti autodromi d’Italia e ha ospitato manifestazioni motoristiche come il Gran Premio di San Marino di Formula Uno e il Campionato Mondiale di Formula 3000. Ancora oggi ha qui luogo il Gran Premio d’Italia del campionato mondiale Superbike e il Campionato Italiano Turismo Endurance. Inaugurato nel 1953, nel 1963 ospitò la prima gara di Formula Uno, nel 1969 il Motomondiale e nel 1980 il 51° Gran Premio d’Italia. Su questa pista hanno anche gareggiato piloti come Ayrton Senna a cui nel 1997 è stata dedicata una statua. Oltre alle gare, nell’autodromo si svolgono eventi di grande richiamo come la Mostra Scambio – il più importante appuntamento italiano di settore per auto, moto, bici, accessori e ricambi d’epoca – concerti, presentazioni di nuovi modelli di auto e moto. Dal 2014, inoltre, è possibile visitare il museo “Checco Costa”, spazio espositivo dedicato ai motori situato all'interno dell'Autodromo.;Area imolese;;Luoghi di sport e motori;1;40026;Imola;BO;< 50 km;;+39 0542 65511;info@autodromoimola.it;http://www.autodromoimola.it/;Per info su orari e prezzi consulta il sito qui;;;;;;;;44.34435739999999, 11.719392
San Giovanni in Persiceto;Corso Italia;44.6385039;11.1871488;60;;La città di San Giovanni in Persiceto, patria di uno dei Carnevali più singolari d'Italia, si sviluppa attorno ad un centro storico medievale dall'originale impianto concentrico, noto anche come Borgo Rotondo.Cuore della città è Piazza del Popolo, dove si trovano la Collegiata di San Giovanni Battista, contenente opere dei grandi maestri della pittura bolognese del '500 - '800 incluso il Guercino, il quattrocentesco Palazzo Comunale internamente arricchito da un suggestivo scalone, e lo storico Teatro Comunale dagli interni finemente decorati.L'edificio più antico di San Giovanni è il duecentesco Palazzaccio, tipico esempio di casa medievale bolognese, riconoscibile dall'alto portico in colonne di quercia. Degno di nota anche il medioevale Complesso conventuale di San Francesco, momentaneamente in ristrutturazione.Un'atmosfera tutta particolare si respira nella coloratissima piazzetta Betlemme, chiamata anche “degli inganni” per via dei vividi dipinti in trompe l'oeil qui realizzati nel 1980 dal famoso scenografo Gino Pellegrini, artista di West Side Story e 2001 Odissea nello Spazio e già collaboratore per Stanley Kubrick e altri.Di particolare interesse anche il Museo Archeologico Ambientale e il Museo del Cielo e della Terra.Le campagne attorno a San Giovanni sono vocate all'agricoltura fin da quando, nel secolo IX, i terreni paludosi vennero “persiccati”, cioè bonificati, dando così il nome al luogo. Rimangono però alcune aree umide di importanza naturalistica a livello europeo, le Vasche di Tivoli-Manzolino e La Bora, due oasi di grande interesse per il birdwatching e per la salvaguardia di varie specie, tra cui la testuggine palustre.;Pianura;;Borghi;74;40017;San Giovanni in Persiceto;BO;< 30 km;;;;;;;;;;;;;44.6385039, 11.1871488
Museo della Civiltà Contadina - Istituzione Villa Smeraldi;Via S. Marina;44.6034201;11.417226;66;"Il Museo della Civiltà Contadina si trova a San Marino di Bentivoglio a 15 km da Bologna.
Ha sede, dal 1973, a Villa Smeraldi: oltre 2000 mq di esposizione e 4 ettari di parco offrono al visitatore una testimonianza unica sul lavoro e sulla vita nelle campagne tra Ottocento e Novecento";Il Museo della Civiltà Contadina, dal 1973 a Villa Smeraldi, offre al visitatore una testimonianza unica sul lavoro e sulla vita nelle campagne tra Ottocento e Novecento.Le raccolte del Museo sono state costituite nel tempo dai contadini ed ex contadini che, dando vita all’Associazione La Stadura, hanno donato all’istituzione oltre diecimila oggetti relativi al lavoro e alla vita nelle campagne bolognesi ed emiliane tra il 1750 e il 1950. Le varie sezioni raccontano in particolare della mezzadria. Tra queste, quella dedicata alla canapa è la più importante d’Italia.Il Museo si trova al centro dell'ampio parco all’inglese della villa ed stato recentemente arricchito da un pomario di 500 alberi da frutto di varietà antiche e rare che, assieme al campo di canapa, costituisce la parte di “museo a cielo aperto”.;Pianura;;Musei e Collezioni;35;40010;Bentivoglio;BO;< 20 km;Il museo è accessibile alle persone con disabilità in tutti gli spazi aperti al pubblico: presenza di rampe a norma e ascensori o montacarichi.Sono inoltre prenotabili al numero 051.891050 due percorsi accessibili per non vedenti.;+39 051 891050;segreteria.museo@cittametropolitana.bo.it;https://www.museociviltacontadina.bo.it/;"Dal lunedì al venerdì dalle 9.00 alle 12.30; martedì e giovedì dalle 14.30 alle 17.00; domenica dalle 15 alle 19 (ottobre-aprile) e dalle 16.00 alle 20.00 (maggio-settembre). Sabato chiuso. Apertura su prenotazione per gruppi in visita guidata scrivendo a segreteria.museo@cittametropolitana.bo.it";;;;;;;;44.6034201, 11.417226
